open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1722519660000,-0.00025220,-0.00009385,-0.00045441,-0.00033475,0,1722519719999,0,12,0,0,0
1722519720000,-0.00024611,-0.00024504,-0.00042489,-0.00025377,0,1722519779999,0,12,0,0,0
1722519780000,-0.00032149,0.00002598,-0.00032149,-0.00024914,0,1722519839999,0,12,0,0,0
1722519840000,-0.00016346,0.00006862,-0.00042157,-0.00023849,0,1722519899999,0,12,0,0,0
1722519900000,-0.00024199,-0.00020360,-0.00050362,-0.00032547,0,1722519959999,0,12,0,0,0
1722519960000,-0.00039123,-0.00010404,-0.00061653,-0.00050520,0,1722520019999,0,12,0,0,0
1722520020000,-0.00042344,-0.00013216,-0.00050940,-0.00019616,0,1722520079999,0,12,0,0,0
1722520080000,-0.00021661,0.00000349,-0.00048290,-0.00010513,0,1722520139999,0,12,0,0,0
1722520140000,-0.00013454,-0.00008929,-0.00042789,-0.00029980,0,1722520199999,0,12,0,0,0
1722520200000,-0.00016969,-0.00016969,-0.00080943,-0.00052392,0,1722520259999,0,12,0,0,0
1722520260000,-0.00063485,-0.00045831,-0.00090186,-0.00045831,0,1722520319999,0,12,0,0,0
1722520320000,-0.00051373,-0.00029061,-0.00061168,-0.00052563,0,1722520379999,0,12,0,0,0
1722520380000,-0.00039007,-0.00014144,-0.00052813,-0.00036810,0,1722520439999,0,12,0,0,0
1722520440000,-0.00026970,-0.00012382,-0.00041436,-0.00030820,0,1722520499999,0,12,0,0,0
1722520500000,-0.00043028,-0.00012700,-0.00043028,-0.00029181,0,1722520559999,0,12,0,0,0
1722520560000,-0.00029527,-0.00019582,-0.00040456,-0.00040456,0,1722520619999,0,12,0,0,0
1722520620000,-0.00037586,-0.00016288,-0.00060474,-0.00048667,0,1722520679999,0,12,0,0,0
1722520680000,-0.00042835,-0.00027492,-0.00053944,-0.00050476,0,1722520739999,0,12,0,0,0
1722520740000,-0.00037578,-0.00029434,-0.00061353,-0.00047990,0,1722520799999,0,12,0,0,0
1722520800000,-0.00061733,-0.00015969,-0.00064700,-0.00020840,0,1722520859999,0,12,0,0,0
1722520860000,-0.00038418,-0.00012041,-0.00067921,-0.00028532,0,1722520919999,0,12,0,0,0
1722520920000,-0.00047427,-0.00001013,-0.00049596,-0.00019803,0,1722520979999,0,12,0,0,0
1722520980000,-0.00027415,-0.00016614,-0.00060829,-0.00036467,0,1722521039999,0,12,0,0,0
1722521040000,-0.00040596,-0.00028799,-0.00059265,-0.00028799,0,1722521099999,0,12,0,0,0
1722521100000,-0.00045460,-0.00034247,-0.00062825,-0.00049353,0,1722521159999,0,12,0,0,0
1722521160000,-0.00054601,0.00008788,-0.00089811,-0.00051358,0,1722521219999,0,12,0,0,0
1722521220000,-0.00090487,-0.00012420,-0.00090487,-0.00015091,0,1722521279999,0,12,0,0,0
1722521280000,-0.00014293,0.00005916,-0.00046770,-0.00026375,0,1722521339999,0,12,0,0,0
1722521340000,-0.00033330,-0.00019801,-0.00055746,-0.00019801,0,1722521399999,0,12,0,0,0
1722521400000,-0.00047753,-0.00009274,-0.00054027,-0.00029612,0,1722521459999,0,12,0,0,0
1722521460000,-0.00038316,0.00001603,-0.00057358,-0.00044261,0,1722521519999,0,12,0,0,0
1722521520000,-0.00023502,0.00002146,-0.00036152,-0.00022606,0,1722521579999,0,12,0,0,0
1722521580000,-0.00028480,-0.00008360,-0.00029113,-0.00022552,0,1722521639999,0,12,0,0,0
1722521640000,-0.00037481,-0.00017810,-0.00058736,-0.00058736,0,1722521699999,0,12,0,0,0
1722521700000,-0.00048299,-0.00045584,-0.00085687,-0.00053444,0,1722521759999,0,12,0,0,0
1722521760000,-0.00048756,-0.00022148,-0.00056084,-0.00052446,0,1722521819999,0,12,0,0,0
1722521820000,-0.00053284,-0.00025755,-0.00055613,-0.00055613,0,1722521879999,0,12,0,0,0
1722521880000,-0.00056046,-0.00007370,-0.00056046,-0.00020005,0,1722521939999,0,12,0,0,0
1722521940000,-0.00038762,-0.00018365,-0.00044511,-0.00018365,0,1722521999999,0,12,0,0,0
1722522000000,-0.00019509,-0.00010678,-0.00055302,-0.00055302,0,1722522059999,0,12,0,0,0
1722522060000,-0.00059469,-0.00014143,-0.00061361,-0.00032137,0,1722522119999,0,12,0,0,0
1722522120000,-0.00010188,-0.00010188,-0.00062654,-0.00060648,0,1722522179999,0,12,0,0,0
1722522180000,-0.00057077,-0.00023079,-0.00057077,-0.00034045,0,1722522239999,0,12,0,0,0
1722522240000,-0.00024754,-0.00005147,-0.00035586,-0.00027853,0,1722522299999,0,12,0,0,0
1722522300000,-0.00015421,-0.00006501,-0.00044062,-0.00036032,0,1722522359999,0,12,0,0,0
1722522360000,-0.00035865,-0.00033669,-0.00067967,-0.00043888,0,1722522419999,0,12,0,0,0
1722522420000,-0.00050353,-0.00027317,-0.00086989,-0.00086989,0,1722522479999,0,12,0,0,0
1722522480000,-0.00038723,-0.00015045,-0.00058645,-0.00020176,0,1722522539999,0,12,0,0,0
1722522540000,-0.00019960,-0.00019510,-0.00055372,-0.00030144,0,1722522599999,0,12,0,0,0
1722522600000,-0.00053265,-0.00007817,-0.00053265,-0.00049066,0,1722522659999,0,12,0,0,0
1722522660000,-0.00051252,-0.00013087,-0.00068582,-0.00048387,0,1722522719999,0,12,0,0,0
1722522720000,-0.00054014,-0.00019570,-0.00074691,-0.00029437,0,1722522779999,0,12,0,0,0
1722522780000,-0.00046139,-0.00007061,-0.00056695,-0.00010526,0,1722522839999,0,12,0,0,0
1722522840000,-0.00034711,-0.00005791,-0.00047310,-0.00047310,0,1722522899999,0,12,0,0,0
1722522900000,-0.00016799,-0.00016799,-0.00052798,-0.00043094,0,1722522959999,0,12,0,0,0
1722522960000,-0.00043068,-0.00016301,-0.00059616,-0.00021766,0,1722523019999,0,12,0,0,0
1722523020000,-0.00021811,0.00003593,-0.00037733,-0.00033063,0,1722523079999,0,12,0,0,0
1722523080000,-0.00033387,-0.00021510,-0.00059519,-0.00033580,0,1722523139999,0,12,0,0,0
1722523140000,-0.00027072,-0.00008779,-0.00047758,-0.00030879,0,1722523199999,0,12,0,0,0
1722523200000,-0.00020309,0.00012736,-0.00020309,0,0,1722523259999,0,12,0,0,0
1722523260000,-0.00012016,0.00000172,-0.00042752,-0.00020754,0,1722523319999,0,12,0,0,0
1722523320000,-0.00021708,-0.00021708,-0.00074517,-0.00074517,0,1722523379999,0,12,0,0,0
1722523380000,-0.00034880,-0.00023375,-0.00077168,-0.00029811,0,1722523439999,0,12,0,0,0
1722523440000,-0.00037466,-0.00020950,-0.00061366,-0.00046806,0,1722523499999,0,12,0,0,0
1722523500000,-0.00038838,-0.00023485,-0.00074177,-0.00057452,0,1722523559999,0,12,0,0,0
1722523560000,-0.00063276,-0.00032366,-0.00087034,-0.00087034,0,1722523619999,0,12,0,0,0
1722523620000,-0.00043284,-0.00022870,-0.00078581,-0.00045828,0,1722523679999,0,12,0,0,0
1722523680000,-0.00045227,-0.00027698,-0.00064957,-0.00052139,0,1722523739999,0,12,0,0,0
1722523740000,-0.00030793,-0.00021179,-0.00066091,-0.00060513,0,1722523799999,0,12,0,0,0
1722523800000,-0.00031791,-0.00002361,-0.00048442,-0.00002361,0,1722523859999,0,12,0,0,0
1722523860000,-0.00029326,0.00005391,-0.00068108,-0.00031083,0,1722523919999,0,12,0,0,0
1722523920000,-0.00019684,-0.00017596,-0.00056338,-0.00049358,0,1722523979999,0,12,0,0,0
1722523980000,-0.00032003,-0.00005410,-0.00073577,-0.00025750,0,1722524039999,0,12,0,0,0
1722524040000,-0.00050033,-0.00021861,-0.00086996,-0.00052274,0,1722524099999,0,12,0,0,0
1722524100000,-0.00002904,-0.00002904,-0.00065780,-0.00057694,0,1722524159999,0,12,0,0,0
1722524160000,-0.00047671,-0.00014148,-0.00076534,-0.00014148,0,1722524219999,0,12,0,0,0
1722524220000,-0.00043293,-0.00026170,-0.00065010,-0.00064623,0,1722524279999,0,12,0,0,0
1722524280000,-0.00069058,-0.00023605,-0.00069058,-0.00045060,0,1722524339999,0,12,0,0,0
1722524340000,-0.00047158,-0.00023943,-0.00066539,-0.00056482,0,1722524399999,0,12,0,0,0
1722524400000,-0.00040469,0.00028219,-0.00068666,-0.00027379,0,1722524459999,0,12,0,0,0
1722524460000,-0.00036435,-0.00029888,-0.00287794,-0.00082649,0,1722524519999,0,12,0,0,0
1722524520000,-0.00063823,0.00002459,-0.00080233,-0.00034601,0,1722524579999,0,12,0,0,0
1722524580000,-0.00023059,-0.00022673,-0.00129722,-0.00049441,0,1722524639999,0,12,0,0,0
1722524640000,-0.00077910,-0.00016451,-0.00084426,-0.00030137,0,1722524699999,0,12,0,0,0
1722524700000,-0.00017362,-0.00002208,-0.00052102,-0.00012614,0,1722524759999,0,12,0,0,0
1722524760000,-0.00017465,0.00017322,-0.00062810,-0.00062810,0,1722524819999,0,12,0,0,0
1722524820000,-0.00024291,-0.00000682,-0.00095832,-0.00046463,0,1722524879999,0,12,0,0,0
1722524880000,-0.00036076,-0.00015953,-0.00072522,-0.00025972,0,1722524939999,0,12,0,0,0
1722524940000,-0.00028988,0.00000762,-0.00078313,-0.00027213,0,1722524999999,0,12,0,0,0
1722525000000,-0.00042782,0.00007901,-0.00054343,-0.00040466,0,1722525059999,0,12,0,0,0
1722525060000,-0.00035274,-0.00035274,-0.00079794,-0.00043635,0,1722525119999,0,12,0,0,0
1722525120000,-0.00059403,-0.00028820,-0.00109001,-0.00039929,0,1722525179999,0,12,0,0,0
1722525180000,-0.00035050,0.00008112,-0.00067910,-0.00056418,0,1722525239999,0,12,0,0,0
1722525240000,-0.00029503,-0.00018388,-0.00082259,-0.00082259,0,1722525299999,0,12,0,0,0
1722525300000,-0.00058128,0,-0.00075024,-0.00075024,0,1722525359999,0,12,0,0,0
1722525360000,-0.00047220,-0.00004581,-0.00095806,-0.00042470,0,1722525419999,0,12,0,0,0
1722525420000,-0.00090377,0.00035486,-0.00090377,-0.00008767,0,1722525479999,0,12,0,0,0
1722525480000,-0.00050263,-0.00016364,-0.00077125,-0.00069524,0,1722525539999,0,12,0,0,0
1722525540000,-0.00070273,-0.00000334,-0.00092602,-0.00000334,0,1722525599999,0,12,0,0,0
1722525600000,-0.00033091,0.00007583,-0.00076884,-0.00022075,0,1722525659999,0,12,0,0,0
1722525660000,-0.00031149,-0.00027991,-0.00162436,-0.00081463,0,1722525719999,0,12,0,0,0
1722525720000,-0.00057613,0.00016906,-0.00057613,0.00016906,0,1722525779999,0,12,0,0,0
1722525780000,-0.00013642,0.00024994,-0.00060299,-0.00017686,0,1722525839999,0,12,0,0,0
1722525840000,-0.00063957,-0.00013228,-0.00073443,-0.00073443,0,1722525899999,0,12,0,0,0
1722525900000,-0.00030785,0.00009808,-0.00059669,-0.00027005,0,1722525959999,0,12,0,0,0
1722525960000,-0.00017443,-0.00017443,-0.00069746,-0.00067863,0,1722526019999,0,12,0,0,0
1722526020000,-0.00012831,-0.00012831,-0.00067858,-0.00051329,0,1722526079999,0,12,0,0,0
1722526080000,-0.00073900,0.00019870,-0.00088897,-0.00070047,0,1722526139999,0,12,0,0,0
1722526140000,-0.00042235,-0.00012815,-0.00070706,-0.00031631,0,1722526199999,0,12,0,0,0
1722526200000,-0.00021759,0.00008232,-0.00063516,-0.00063516,0,1722526259999,0,12,0,0,0
1722526260000,-0.00037991,-0.00027711,-0.00104349,-0.00044593,0,1722526319999,0,12,0,0,0
1722526320000,-0.00069824,0.00027440,-0.00069824,0.00014444,0,1722526379999,0,12,0,0,0
1722526380000,0.00008446,0.00017600,-0.00069388,-0.00069388,0,1722526439999,0,12,0,0,0
1722526440000,-0.00063999,-0.00001110,-0.00064530,-0.00041459,0,1722526499999,0,12,0,0,0
1722526500000,0.00051988,0.00051988,-0.00078092,-0.00026398,0,1722526559999,0,12,0,0,0
1722526560000,-0.00036129,-0.00006626,-0.00065177,-0.00060370,0,1722526619999,0,12,0,0,0
1722526620000,-0.00044014,0.00008146,-0.00061116,-0.00014326,0,1722526679999,0,12,0,0,0
1722526680000,0.00019403,0.00019991,-0.00039074,-0.00039074,0,1722526739999,0,12,0,0,0
1722526740000,-0.00024978,-0.00024722,-0.00071353,-0.00042281,0,1722526799999,0,12,0,0,0
1722526800000,-0.00042980,-0.00015390,-0.00089458,-0.00040905,0,1722526859999,0,12,0,0,0
1722526860000,-0.00048845,-0.00023776,-0.00073313,-0.00061682,0,1722526919999,0,12,0,0,0
1722526920000,-0.00053562,0.00000955,-0.00053562,-0.00013330,0,1722526979999,0,12,0,0,0
1722526980000,-0.00037826,-0.00029243,-0.00062531,-0.00051599,0,1722527039999,0,12,0,0,0
1722527040000,-0.00027439,-0.00001123,-0.00067698,-0.00041084,0,1722527099999,0,12,0,0,0
